		N	N_poorCGI	P_poorCGI	Total	N_Total_poorCGI	P_Total_poorCGI
T0_Sat1	1.0	16	8	0.5	715	481	0.6727272727272727
T0_Sat1	2.0	59	43	0.7288135593220338	715	481	0.6727272727272727
T0_Sat1	3.0	156	101	0.6474358974358975	715	481	0.6727272727272727
T0_Sat1	4.0	262	175	0.6679389312977099	715	481	0.6727272727272727
T0_Sat1	5.0	222	154	0.6936936936936937	715	481	0.6727272727272727
T0_Sat2	1.0	11	4	0.36363636363636365	716	482	0.6731843575418994
T0_Sat2	2.0	27	19	0.7037037037037037	716	482	0.6731843575418994
T0_Sat2	3.0	115	74	0.6434782608695652	716	482	0.6731843575418994
T0_Sat2	4.0	271	187	0.6900369003690037	716	482	0.6731843575418994
T0_Sat2	5.0	292	198	0.678082191780822	716	482	0.6731843575418994
T0_Sat3	1.0	15	8	0.5333333333333333	716	482	0.6731843575418994
T0_Sat3	2.0	26	20	0.7692307692307693	716	482	0.6731843575418994
T0_Sat3	3.0	88	55	0.625	716	482	0.6731843575418994
T0_Sat3	4.0	229	156	0.6812227074235808	716	482	0.6731843575418994
T0_Sat3	5.0	358	243	0.6787709497206704	716	482	0.6731843575418994
T0_Sat4	1.0	213	154	0.7230046948356808	715	482	0.6741258741258741
T0_Sat4	2.0	119	78	0.6554621848739496	715	482	0.6741258741258741
T0_Sat4	3.0	125	85	0.68	715	482	0.6741258741258741
T0_Sat4	4.0	152	97	0.6381578947368421	715	482	0.6741258741258741
T0_Sat4	5.0	106	68	0.6415094339622641	715	482	0.6741258741258741
T0_Sat5	1.0	86	57	0.6627906976744186	716	482	0.6731843575418994
T0_Sat5	2.0	151	115	0.7615894039735099	716	482	0.6731843575418994
T0_Sat5	3.0	228	154	0.6754385964912281	716	482	0.6731843575418994
T0_Sat5	4.0	170	102	0.6	716	482	0.6731843575418994
T0_Sat5	5.0	81	54	0.6666666666666666	716	482	0.6731843575418994
T0_Sat6	1.0	31	22	0.7096774193548387	716	482	0.6731843575418994
T0_Sat6	2.0	112	75	0.6696428571428571	716	482	0.6731843575418994
T0_Sat6	3.0	129	92	0.7131782945736435	716	482	0.6731843575418994
T0_Sat6	4.0	229	148	0.6462882096069869	716	482	0.6731843575418994
T0_Sat6	5.0	215	145	0.6744186046511628	716	482	0.6731843575418994
T0_Sat7	1.0	17	11	0.6470588235294118	716	482	0.6731843575418994
T0_Sat7	2.0	47	34	0.723404255319149	716	482	0.6731843575418994
T0_Sat7	3.0	162	107	0.6604938271604939	716	482	0.6731843575418994
T0_Sat7	4.0	260	174	0.6692307692307692	716	482	0.6731843575418994
T0_Sat7	5.0	230	156	0.6782608695652174	716	482	0.6731843575418994
T0_Sat8	1.0	47	37	0.7872340425531915	714	481	0.6736694677871149
T0_Sat8	2.0	100	75	0.75	714	481	0.6736694677871149
T0_Sat8	3.0	175	115	0.6571428571428571	714	481	0.6736694677871149
T0_Sat8	4.0	206	135	0.6553398058252428	714	481	0.6736694677871149
T0_Sat8	5.0	186	119	0.6397849462365591	714	481	0.6736694677871149
